year,Afghanistan,Afghanistan,Afghanistan,Bahrain,Bahrain,Bahrain,Canada(Urban population),Canada(Access to electricity (% of population)),Canada(agriculture area (sq. km)),China(Urban population),China(Access to electricity (% of population)),China(Agricultural land (sq. km)),France(Urban population),France(Access to electricity (% of population)),France(Agricultural land (sq. km),"Iran, Islamic Rep.(Urban population)","Iran, Islamic Rep.(Access to electricity (% of population))","Iran, Islamic Rep.(Agricultural land (sq. km))",Pakistan(Urban population),Pakistan(Access to electricity (% of population)),PakistanAgricultural land (sq. km),Saudi Arabia(Urban population),Saudi Arabia(Access to electricity (% of population)),Saudi Arabia(Agricultural land (sq. km))
1960,724373,,,132281,,,12368380,,,108085352,,,28866975,,,7215514,,,10157722,,,1301738,,
1961,763336,,377500,137478,,100,12729040,,,110327936,,3423500,29526489,,345390,7559948,,592710,10589176,,357300,1393997,,861700
1962,805062,,378000,142770,,100,13121753,,,114685540,,3451000,30271423,,344400,7923296,,592900,10957300,,358400,1494405,,861900
1963,849446,,378500,148180,,100,13522659,,,121162226,,3479500,31179854,,343540,8307683,,593500,11345748,,358800,1618088,,862120
1964,896820,,379050,153727,,100,13934678,,,127791981,,3508000,32114729,,341090,8715144,,594100,11756511,,363550,1768060,,862410
1965,947332,,379100,159235,,100,14343688,,,129348359,,3546000,33054437,,340010,9143573,,594700,12188485,,372350,1930278,,862620
1966,1001109,,379550,164710,,100,14763748,,,131746910,,3582000,33987676,,338460,9588517,,594800,12644969,,374150,2105611,,862840
1967,1058060,,379790,170119,,100,15136519,,,134196718,,3618000,34910161,,336290,10076232,,595500,13126447,,374700,2295815,,863040
1968,1118853,,379800,175545,,100,15487885,,,136747486,,3654000,35692859,,331780,10598813,,596000,13632139,,371700,2502670,,863400
1969,1183254,,379960,180998,,100,15804855,,,139527262,,3700000,36223125,,331730,11146210,,596700,14160809,,357000,2726912,,863750
1970,1251968,,380060,186445,,100,16132459,,,142386810,,3746000,36752571,,324950,11724692,,597000,14714216,,358650,2971822,,864200
